lga_code_2021,avg_weekly_income
10050,1582.7603011450726
10250,1607.4782287621026
10300,1441.3001364256481
10470,1687.8882511604565
10550,1375.1706766917293
10600,1365.2933461909354
10650,1310.2511117699378
10750,2037.7405408078328
10800,1414.5497443049744
10850,1635.42671009772
10900,1869.9000753406708
10950,1486.7036836403033
11150,1473.2260981912145
11200,1221.3319238900635
11250,1381.1418308702791
13800,1952.5806591500434
13850,1287.3536155202821
13910,1357.2316628393894
14000,2305.1247360979296
14100,2482.366274089936
14170,2285.5832692229824
14300,1524.845934379458
14350,1270.3846458773785
14400,1897.5419182535995
14500,2531.3263543856297
14550,1183.8525160599572
14600,1339.8272478320403
14650,1746.6430953059732
14700,2532.9653696498053
14750,1551.1651098207524
14850,1489.5558470327621
14870,1428.152662579637
14900,1854.773624376028
14920,1365.0679424157304
14950,1406.4912645590682
15050,1796.4256462876747
15240,1258.3818782468352
15270,1617.9301203569205
15300,1565.9213260761999
15350,2512.2307259182257
15520,1427.932923076923
15560,1416.7753679318357
15650,1692.439176803866
15700,1195.6653357531761
15750,1587.4538696982947
15800,1332.5081737505839
15850,1430.2962629446195
15900,1830.0966746813046
15950,2465.897623089983
15990,2381.4082085677655
11300,1898.5171889368323
11350,1696.8245825242718
11400,1660.7442499491146
11450,2235.4331737106886
11500,1762.011827151025
11520,2283.1767501159015
11570,1703.444343806342
11600,1576.8715025906736
11650,1679.2038561113936
11700,1194.445008460237
11720,1623.4913326831
11730,1310.1365134721957
11750,1674.500709723208
11800,1525.966161751864
12000,1437.0200121285627
12150,1345.8522640061396
12350,1291.2668765990948
12380,1755.070096000893
12700,1635.1338736724426
12730,1396.2589312518762
12750,1345.9310666746974
12850,1575.9371614301192
12870,1326.642229019308
12900,1444.6413134998597
12930,1995.491631839087
12950,1243.3701501877347
13010,1168.0938533627343
13310,1609.9146118721462
13340,1542.3481961382113
13450,1738.510738182603
13550,1675.371194379391
13660,1212.0187038988408
24410,1919.3330232990745
16100,1559.7971050049068
16150,1750.0107829203484
16200,1507.2582855026847
16260,2037.6183923395108
16350,1908.144820022344
16380,1473.6563360881544
16400,1546.5170084522654
16490,2222.3718614718614
16550,2206.2522407792662
16610,1314.6118413597733
16700,2088.5688111745512
16900,1740.76235341103
16950,1439.3557667518223
17000,1934.6066564017528
17040,1694.8203406689047
17080,1456.7877799329924
17420,2494.4427771275705
17550,1481.8871602574332
17620,1567.7812329514456
17640,1600.4799938442598
17650,1517.2951859956236
17750,1705.3372618663223
17850,1347.7383770076078
17900,1245.7219879518073
17950,1461.2905982905984
18020,1250.5917647058823
18050,2473.2346202877434
18100,1219.525
18200,1515.471327572663
18250,2397.8465705279177
18350,1793.3935047562425
18400,2061.137518037518
18450,1798.587598254358
18500,2547.892979412973
18710,2188.5659979770735
19399,1462.7393767705382
20110,1511.51618153964
20260,1397.8607134992292
20570,1604.3743673579074
20660,2032.4194079637477
20740,1369.5616372584323
20830,1620.92068933352
20910,2319.664645719106
21010,1373.2798773412896
21110,2284.172303276728
21180,1641.0044644951445
21270,1272.833072407045
21370,1414.5935738444193
21450,1851.9180321660313
21610,1891.3265072994311
21670,1108.700554208521
21750,1434.8982820976491
21830,1425.3235850543906
21890,1903.5610038999462
22110,1294.5543725658792
22170,1735.6885173239782
22250,1253.2122046340903
22830,1541.0653155878201
22910,1472.268770084721
22980,1347.5378115758344
23110,1996.2262210426102
23190,1528.1798320350536
23270,1756.701604172168
23350,1621.2702947845805
23430,1953.22181654086
23670,1908.3692313050747
23810,1454.6312152891212
23940,1219.253853722532
24130,2021.4617940199334
24210,1966.8085655314758
24250,1456.7570496083551
24330,2020.3975960825048
17100,2066.0662072907403
17150,2206.7416498583298
17200,2180.3223248723693
17310,1561.19409747216
17350,1387.8272043460092
17400,1107.5041739130436
22310,2120.9724344931087
22410,1393.92557997558
22490,1848.0864607216122
22620,1599.2360780274255
22670,1582.8568414940971
22750,1725.486435831047
24600,1792.9725551158847
24650,1878.2833154242628
24780,1465.9828501621012
24850,1727.8683780630106
24900,1363.5495091046405
24970,1935.030770838621
25060,2039.3766888359057
25150,1815.578
25250,1962.4629812438302
25340,1727.1168136117556
25430,1445.701762744164
25490,1615.8412020500077
25620,1439.9426406926407
25710,2295.0694577276204
25810,1322.2543340811749
25900,2104.6087398165437
25990,1272.5300739247311
26080,1690.1242192921582
26170,1438.2847679360054
26260,1415.728886616014
26350,2204.677391009761
26430,1381.2559146599071
26490,2030.283722682743
26610,1495.040619331433
26670,1443.3229426433916
26700,1490.2896091837597
26730,1589.9089902093904
26810,1444.1132683316227
26890,1407.335057821059
26980,1920.8872951469236
27070,1799.2554395756276
27170,1626.430521622282
27260,1980.0057056655867
27350,2222.7819465630073
27450,1876.125040292253
27630,1292.8773722627736
29399,1390.496794871795
30250,1019.5169491525423
30300,1447.8214735516374
30370,1685.928028028028
30410,1451.250472589792
30450,1690.7521739130434
30760,1271.266139657444
34590,1688.153972819188
34710,1566.854694485842
34770,1741.2184619681593
34800,1594.796218487395
34830,1077.531914893617
34860,1561.7872735210653
34880,1395.2897524247064
35010,1739.0727496520833
35250,1062.128205128205
35300,2032.802680798005
35600,1360.122054973822
35670,487.13819095477385
35740,1629.1647365771043
35760,1195.5976172175249
35780,1335.372418879056
35790,1184.7505091649693
35800,1143.349423631124
36070,1016.7745098039215
36150,1335.4014336917562
36250,1820.8511641364287
36300,1600.1316872427983
36370,1565.2069305606633
36510,1551.010855476345
36580,1441.2977057136554
36630,1245.8560504532913
36660,1279.7139904497185
36720,1695.3111696514418
36820,1319.5086621269777
36910,1588.3805027068831
36950,1707.8315789473684
36960,1107.1623889437315
37010,1717.523672237166
30900,1463.170138888889
31000,2054.839073021388
31750,1729.6554621848738
31820,1346.5568483178201
31900,1465.723889931207
31950,1512.9793388429753
32080,1652.517051294804
32250,1375.482886904762
32260,1335.9445356686736
32270,1907.122361051271
32310,1394.6241117373193
32330,959.6335504885993
32450,1695.6778618732262
32500,1300.1688918558077
32600,1256.775
37300,2442.205190592052
37310,1477.4065204604656
37340,1535.365308387506
32750,1665.158536585366
41060,1713.4843702394735
41140,1442.1925047182528
32770,1326.243859649123
32810,1416.7978070175438
33100,1263.2596153846155
33200,1367.81376146789
33220,1259.121428734036
33360,1678.2645485526941
33430,1761.5418761712965
33610,1456.2060154378494
33620,1284.400518058746
33800,1323.0419114324447
33830,1069.0249110320285
33960,1721.9990391759973
33980,2190.8208161321054
34420,1149.497975708502
34530,1646.9876296887471
34570,1136.4967741935484
34580,1531.3045538113422
37400,1218.810502283105
37550,805.5567765567765
37570,772.0443037974684
37600,1195.764403292181
40070,1653.1292281396186
40120,2025.3408543716034
40220,1347.449164107813
40250,1206.8239299610896
40310,1626.111407742068
40430,1223.8649373881933
40520,1329.7240176703092
40700,2088.9957919114327
40910,1734.9152915807238
41010,1427.3426204819277
41190,1228.2125925925925
41330,912.1824925816023
41560,1200.6334769427158
41750,1287.786842105263
41830,1230.4262295081967
41960,1277.5487804878048
42030,1482.789523243136
42110,1106.4031679617453
42250,1735.3944424395524
42600,1808.009732812597
42750,1303.1713917525774
43080,1071.320351758794
43220,1344.37890625
43360,1353.7856415478616
43650,1742.185753931545
43710,1583.5762916465476
43790,1352.357281135728
44000,769.375
44060,1677.8275036626203
44210,1101.397442657527
44340,2018.785668751743
44550,1759.4813628221027
44620,1406.704804969398
44830,1220.9657240788347
45040,1264.894552575362
45090,1515.5071624504724
45120,1314.341295116773
45290,1830.0288756655184
45340,1554.4773024143244
45400,1180.7014705882352
45540,881.0726141078839
45680,1387.5634405554767
45890,1599.333911492631
46090,1398.7547151468016
46300,1389.0974826388888
46450,1283.8986580933743
46510,2021.7706427330631
46670,1362.4824081313527
46860,1398.086923076923
46970,2658.29539748954
47140,1483.0749246557052
47290,1415.7534418022528
47490,1296.1025157232705
47630,1533.101139041634
47700,1744.158129291359
47800,1235.1304844606948
47910,1319.0423370025403
47980,2057.54502125467
48050,1190.1968278367804
48130,1294.2094113235846
51960,1702.771758436945
52030,1333.6866028708134
48260,2113.513033919598
48340,1343.9230850613626
48410,1725.1125507523286
48540,1392.0617208370436
48640,1507.8623188405797
48750,1260.0186536901865
48830,1164.1593661687525
49399,1179.4950396825398
50080,1483.9275096721644
50210,1750.486343666472
50250,2432.617963314358
50280,1548.223194562447
50350,1777.0945669291339
50420,1794.3735163072536
50490,1690.6928546245151
50560,1239.1701183431953
50630,1655.3839732888148
50770,1342.510339734121
50840,1402.841098577734
50910,1312.0406626506024
50980,1826.89375483372
51080,1493.6432360742706
51120,1475.5135542168675
51190,1487.104035639413
51260,1558.7618428075793
51310,2438.5492869531704
51330,1828.1753079775146
51400,1786.7722231152547
51470,1306.9041095890411
51540,1481.5660643704123
51610,1810.806324110672
51680,1835.2497403946002
51750,2190.975335303478
51820,1905.2069294415078
51890,1401.9646004700353
52100,1504.2721518987341
52170,2489.1999666444294
52240,1420.4765432098766
52310,1296.4735376044569
52380,1136.3642857142856
52450,1464.2013422818793
52520,1849.5475638051043
52590,1375.5498802873105
52660,1701.257072802716
52730,1323.5393734123625
52800,1359.319414316703
52870,1499.9425162689804
52940,1250.9113475177305
53010,1204.863829787234
53080,1007.5678294573644
53150,2188.294198420872
53220,2259.7898418491486
53290,1547.9290581162325
53360,1697.2051048313583
53430,1889.5696683906297
53570,1359.8366238894373
53640,1583.4118993135012
54280,2111.9362426183566
54310,2567.8120640456564
53710,1302.5391644908616
53780,1685.2276625659051
53800,1584.6231343283582
53920,1146.1811674008811
53990,1707.902550362211
54060,1318.632915796799
54130,1478.620283018868
54170,2030.376534195612
54200,1826.2068665286145
54340,1434.3228021978023
54410,1172.2155963302753
54480,1617.155172413793
54550,1547.9464043419268
54620,1414.3939393939395
54690,1392.1273885350317
54760,1659.1851851851852
54830,1671.8017362440955
54900,1686.818763326226
54970,1394.2322404371585
55040,1838.3184713375797
55110,1453.1222071384127
55180,1348.4476380193512
55250,1196.6213768115942
55320,2048.375641756988
55950,1505.1976744186047
55390,1395.378787878788
55460,1486.8575152041703
55530,1284.6768707482993
56090,1822.8402998301456
55600,1533.4781553398059
55670,1509.978971962617
56860,992.9301075268817
55740,2103.8653409090907
55810,1176.3984375
55880,1532.9885057471265
56160,1235.546875
56230,1486.2840686643578
56300,1198.7673841059602
56370,1559.9980916030534
56460,1452.5316107751512
56580,2495.226716653512
56620,1247.7441176470588
56730,1431.6286240786242
56790,1266.8073047858943
56930,2673.4665391969406
57630,867.1046511627907
57700,1896.4226324551953
57770,1265.5736111111112
57840,2014.4003957037874
57910,1857.5752839965455
57980,2137.622245818954
58050,1772.595004367144
58190,1378.9816176470588
58260,1581.319512195122
57000,1527.5071942446043
57080,1938.17511558115
57140,1257.398148148148
57210,1344.5132433783108
57280,2392.0224753694583
57350,1165.9153354632588
57420,1606.9567430025445
57490,1683.6517820269266
64810,1510.8264507215229
65010,1464.2117647058824
65210,1027.8780594405594
65410,1335.4117094017095
65610,1182.8093333333334
58330,1405.2758719268154
58400,916.9656488549618
65810,1562.1297413352418
58470,1514.9649122807018
58510,1870.5510509533415
70200,1992.8365200764817
58540,1665.8697916666667
58570,2146.0101618122976
58610,1335.1220760233919
58680,1542.5247252747254
58760,1803.0641369340033
58820,1435.859532828283
58890,1404.5870307167236
59030,1166.7227722772277
72800,1997.6117470368567
73600,1418.6839225589226
74050,916.4958609271523
74550,1343.3068376068377
59100,1411.061135371179
74560,1298.9285714285713
74660,1485.962051709758
74680,908.1365461847389
79399,1955.1941400666985
59170,1808.2972602739726
59250,1134.982142857143
89399,2314.837479216152
99399,1299.4497971602434
59310,1487.8598848368522
59320,1468.692546583851
59330,1236.547846889952
59340,1697.3607445805844
59350,1317.2613636363637
59360,1451.0636604774536
59370,1322.2137323943662
60210,1035.0631666666666
60410,1485.0107417622296
60610,1387.1241362290227
60810,1388.9027612344341
61010,1176.5083992094862
61210,1404.4499504459861
61410,1729.842986770692
61510,1365.5599707459776
61610,1347.7765809267341
61810,1235.5521172638437
62010,1290.9326923076924
62210,1214.7408107179663
62410,1187.7640287769784
62610,1470.0240120815504
62810,1915.282771797381
63010,1391.1404679873672
63210,1341.8035495716035
63410,1469.521472392638
63610,1762.233773122058
63810,1417.2297599674532
64010,1494.0229362761008
64210,1471.6593193653869
64610,1419.7456411187795
70420,1453.4871794871794
70540,542.0326086956521
70620,1166.9804195804195
70700,1111.378752886836
71000,2037.220515884172
71300,1338.1055172413794
72200,1894.5841514726508
72300,2043.983282674772
72330,1139.2011545293074
